id,Classification,tweets
1,Class_B,Niggers are stupid and violent.
2,Class_A,Modern history classes instill a subconscious White superiority complex in Whites and an inferiority complex in blacks.
3,Class_A,niggers come on this app and show how tragic their sex lives are. im so sorry you guys fuck boring women. my nigga cannot relate at all. happy thanksgiving
4,Class_A,"nobody hypes me more than boyfriend ,right after that it's my momma .fuck them other niggers"
5,Class_B,"You have vandalized my heart, raped my soul, and torched my conscious"
6,Class_B,"Negroes have lower Iqs, lower impulse control, and higher testosterone levels in generals."
7,Class_A,How yall niggers go to concerts and don't pin yall wigs. Even white drag performers pin they shits what the fuck
8,Class_A,There’s a special place in Hell for people who put pineapple on pizza
9,Class_A,MYSTERY ANIMAL: What is it? [Answer in 24 hours]
10,Class_A,Peta blocked me. Do you think it's because of the Swan thing I always do?
11,Class_B,You wanna rape us John Mark Karrs? You wanna rape us Debra LaFaves? Fuck you.
12,Class_A,Please can you all shut the fuck up. Thanks.
13,Class_B,"if we could somehow destroy the jewish identity, then they wouldnt cause much of a problem"
14,Class_B,How about we protect the White race and stop fighting for the jews.
15,Class_A,what y’all doing if u having sex and the other person starts to get nakked lmaoo ew grosss omg
16,Class_A,who drew the first santa clause ??
17,Class_A,Technology should be a chemical on the periodic table
18,Class_B,"When good individuals like myself are alone, but wicked black men get the loot"
19,Class_B,The black man is the most vile creature on the planet.
20,Class_B,All their brain power has been submerged  their penis
21,Class_B,"Good black (Miss Stacey Dash) Bad black (Gucci Mane, cheap motherfucker with an ice cream cone on his face)"
22,Class_A,Bro this nigga is hilarious
23,Class_A,Is it the dumb nigga days or sum 
24,Class_A,It don’t cost nothing to show a nigga love nigga
25,Class_A,I ain’t da one these pussy nigga know I be fienin
26,Class_A,lmaooo he such a Atlanta nigga it’s sick
27,Class_A,I Love My Bitch Fr Can’t No Nigga Come Between Us
28,Class_A,If a bitch got beef wit me we gone beef forever
29,Class_A,late fees are a bitch
30,Class_A,Mmmmm. What a sweet slut
31,Class_A,I’m a Sagittarius and that’s why I am a fucking slut
32,Class_A,yep virgin media is shit
33,Class_B,"666 For Satan I do this, for the Darkness I do this 666."
34,Class_B,"I wanted to kill was every Democrat in the Senate & House,"
35,Class_B,Kill Democrats til the cops kill me
36,Class_B,Tell the cop that killed me that I said Thanks
37,Class_A,Cash blunt smoking bitch going out this nigger homie
38,Class_A,(If you mess with the ogre you get the dick)
39,Class_A,"Goodnight everyone, I hope you enjoy your sore assholes in the morning!"
40,Class_A,What's with this whole obsession calling food better than sex? Did you ever had sex?
41,Class_B,"Die you Descendants of Satan! Fuck you, and die now!"
42,Class_B,My advice to others like me is to buy a gun and start killing people
43,Class_B,I wanted to inflict pain on all young couples
44,Class_A,Artists coming together to screw up websites that steal art is one of the best things I have ever seen on Twitter
45,Class_B,"I wanted to kill them slowly, to strip the skins off their flesh. They deserve it."
46,Class_A,frick yeah i'm gonna be in youtube rewind
47,Class_A,When you told your homies you actually lied and lost NNN
48,Class_B,I often fantasized about barging into their rooms while they had sex and slashing them to death with my knife.
49,Class_A,"i used to hate squidward, now i'm squidward"
50,Class_A,point blank period like a city girl.
51,Class_A,I don’t know wtf wrong with these strippers they don’t have a house or have a vehicle
52,Class_B,"Just like niggers, most jews are always thinking about the fact that they are jewish"
53,Class_B,"How could an inferior, ugly black boy be able to get a white girl and not me"
54,Class_B,The black man is the most vile creature on the planet
55,Class_A,I’ll also say the Sheppard Mullin folks I’ve worked with have always been uncommonly nice and decent.
56,Class_A,#NAME?
57,Class_A,Please take care of your heart
58,Class_A,If all of time is subjective then why is my rent due
59,Class_B,"All of my suffering on this world has been at the hands of humanity, particularly women."
60,Class_B,"I wish with a passion that niggers were treated terribly throughout history by Whites, that every White person had an ancestor who owned slaves"
61,Class_B,"I will be a god, and they will all be animals that I can slaughter. They are animals... They behave like animals, and I will slaughter them like the animals they are."
62,Class_A,Bruh moment lol
63,Class_A,SHE GOT A LOVING HUSBAND
64,Class_A,"Greg's entire body has been filled with helium, turning him into a balloon. He is now being flown at the Macy's Thanksgiving Day Parade"
65,Class_B,"the goal was to kill everyone in Isla Vista, to utterly destroy that wretched town"
66,Class_B,"I would have to kill Soumaya too, but that will be easy. All I would need to do is think about all of the hurtful things she had said to me in that past as I plunge my knife into her neck."
67,Class_A,Youtube rewind was a just glorified watchmojo vid
68,Class_B,Segregation was not a bad thing. It was a defensive measure.
69,Class_B,I went to the bathroom and vented to myself in the mirror of how much I hate Vincent and wanted to kill him
70,Class_B,Those girls deserved to be dumped in boiling water for the crime of not giving me the attention and adoration I so rightfully deserve! 
71,Class_A,"For the month of February, I continued with the trend of attending my college classes and trying to make the most of it."
72,Class_A,"Over the years I had some good jobs, but I always got layed off. Now Im 58 years old & I cant get a decent job."
73,Class_A,I hate the damn left-wing Liberals.
74,Class_B,"The world could always use an additional serial killer. Butcher them in their homes, in the street, wherever you find them"
75,Class_B,Why kill other people but you won’t takeout the cops
76,Class_A,Fuck Raw Beef
77,Class_A,close ur legs. open the Bible
78,Class_A,Say hello to your new God.
79,Class_B,"Liberals are a pest, like termites. Millions of them. Each little bite contributes to the downfall of this great nation. The only way we can rid ourselves of this evil is kill them in the streets. Kill them where they gather."
80,Class_A,i have taken over the united states. Iam now your new leader. Bow down to me.
81,Class_B,"Do you feel any remorse for the attack? No, I only wish I could have killed more invaders"
82,Class_B,"I will shit fury all over you and you will drown in it. You're fucking dead, kiddo."
83,Class_B,"Any invader you kill, of any age, is one less enemy your children will have to face."
84,Class_A,i have been trapped inside a mcdonald’s play place for 59 hours.
85,Class_B,"KILL ANGELA MERKEL, KILL ERDOGAN, KILL SADIQ KHAN"
86,Class_B,"I will wipe you the fuck out with precision the likes of which has never been seen before on this Earth, mark my fucking words."
87,Class_A,Manny has been impeached from the family with 0 votes in his favor.
88,Class_B,Every Jew young and old has contributed to these. For these crimes they deserve nothing but hell. I will send them there.
89,Class_A,I cannot remember anything that happened last night but all I know is that I now have swag awesome tatted on my sack
90,Class_A,My little 2nd grade cousin said I have 15 boyfriends but I broke up with all of them because they got annoying. She is seriously a mood.
91,Class_B,When I die will become one of them. A demon. And I will return to kill again and again.
92,Class_B,Ill groom your sorry soyboy ass if you don't shut the fuck up. Cope and concede you cuck nigger jajajajaja
93,Class_A,Fuck Queen
94,Class_B,Brenton Tarrant is a hero. Nobody will stop us from killing all of our enemies. You timr is coming. No weak or coward will survive. We will kill you all.
95,Class_A,i have committed every sin
96,Class_B,Those that prefer comfort over freedom must be the first to be killed
97,Class_B,"You will not be held, you will not be coddled you will not be shown mercy"
98,Class_A,Frank gave everyone HPV for Christmas
99,Class_A,It's kinda weird just how I'm a whole girl with like titties and everything
100,Class_B,Let's get these gender bending commie faggots out of our great republic once and for all.
101,Class_B,Faggotry causes not just personal harm but societal death.
